k	term	gloss	blind	missing
w2403	brainwash	לשטוף את המוח	לשטוף מוח	1:לשטוף מוח
w2407	caution	זהירות; להזהיר	זהירות | אזהרה | להזהיר	2:אזהרה
w2408	certify	להצהיר, לאשר	לאשר | להסמיך	2:להסמיך
w2409	circuit	מסלול, להקיף; מעגל חשמלי	מעגל | מסלול	1:מעגל
w2413	coastline	קו/רצועת חוף	קו חוף | חוף	1:קו חוף | 2:חוף
w2421	compensate	לפצות	לפצות | לקזז	2:לקזז
w2423	compost	זבל אורגני	קומפוסט	1:קומפוסט
w2429	conquer	לכבוש	לכבוש | להתגבר על	2:להתגבר על
w2430	conscious	מודע	מודע | בהכרה	2:בהכרה
w2431	consequence	תוצאה	תוצאה | השלכה	2:השלכה
w2433	consistent	עקבי	עקבי | תואם	2:תואם
w2434	consistently	בעקביות	בעקביות | באופן קבוע	2:באופן קבוע
w2435	consume	לצרוך	לצרוך | לכלות	2:לכלות
w2436	consumers	צרכנים	צרכן	1:צרכן
w2437	continuous	מתמשך	רציף	1:רציף
w2442	cornerstone	אבן פינה	אבן פינה | יסוד	2:יסוד
w2447	crop	לקצץ; יבול	יבול | לגזור	2:לגזור
w2451	dairy	מחלבה	חלבי | מחלבה	1:חלבי
w2455	deform	לעוות	לעוות | לסלף	2:לסלף
w2458	dense	צפוף, סמיך	צפוף | סמיך | טיפש	3:טיפש
w2459	desirable	נחשק	רצוי | מבוקש	1:רצוי | 2:מבוקש
w2461	devastated	הרוס, מפורק	הרוס | שבור	2:שבור
w2465	dictate	להכתיב, לפקד	להכתיב | ציווי	2:ציווי
w2468	disapproving	לא מאשר, לא מסכים, לא מרוצה	להתנגד | לגנות	1:להתנגד | 2:לגנות
w2469	disciplined	חינך, העניש; ממושמע	ממושמע | מאופק	2:מאופק
w2472	disobey	להפר, לא לציית	לא לציית | למרוד	2:למרוד
w2477	distract	להסיח את הדעת	להסיח דעת	1:להסיח דעת
w2478	distribute	להפיץ	להפיץ | לחלק	2:לחלק
w2479	distribution	הפצה	הפצה | חלוקה | התפלגות	2:חלוקה | 3:התפלגות
w2482	downhill	מדרון, מורד	במורד | מתדרדר	1:במורד | 2:מתדרדר
w2483	drain	לנקז; ניקוז	לרוקן | נקז	1:לרוקן | 2:נקז
w2484	drift	זרם, סחף	לנדוד | ערימה | נטייה	1:לנדוד | 2:ערימה | 3:נטייה
w2485	drip	לטפטף	לטפטף | טיפה	2:טיפה
w2487	dwarf	לגמד, גמד	גמד | להאפיל על	2:להאפיל על
w2497	enrage	להרגיז, להכעיס	להכעיס | להרתיח	2:להרתיח
w2502	equivalent	מקבילה	שווה ערך | מקבילה	1:שווה ערך
w2503	erosion	סחף, כרסום	שחיקה	1:שחיקה
w2504	essentially	בעיקרו, במהותו	בעצם	1:בעצם
w2505	estimate	להעריך, לאמוד	להעריך | הערכה	2:הערכה
w2506	evaluate	להעריך, לאמוד	להעריך | לשפוט	2:לשפוט
w2507	evaluation	הערכה	הערכה | בדיקה	2:בדיקה
w2509	evident	ברור, נראה לעין	ניכר | ברור	1:ניכר
w2510	exceptional	יוצא דופן, מעולה	יוצא דופן | מצוין	2:מצוין
w2511	exclude	לא לכלול, להוציא מן הכלל, להדיר; למנוע כניסה	להחריג | לא לכלול	1:להחריג
w2513	exhibit	להציג, מוצג	להציג | תערוכה	2:תערוכה
w2515	expedition	משלחת	משלחת | מסע	2:מסע
w2519	exterior	חיצוני	חיצוני | חזית	2:חזית
w2521	extract	לחלץ, להוציא, לעקור; להפיק; תמצית	לחלץ | תמצית | קטע	3:קטע
w2522	faithful	נאמן	נאמן | מדויק	2:מדויק
w2523	farther	רחוק יותר, הלאה, יותר	רחוק	1:רחוק
w2524	fasten	להדק	להדק | לחבר	2:לחבר
w2526	fierce	עז, פראי	עז | אכזרי	2:אכזרי
w2527	findings	ממצאים	ממצא	1:ממצא
w2529	flee, fled	להימלט, נמלט	לברוח | להימלט	1:לברוח
w2531	fluid	נוזל	נוזל | נזיל	2:נזיל
w2535	frequent	תדיר, שכיח	תכוף | לפקוד	1:תכוף | 2:לפקוד
w2538	govern	למשול	לשלוט | לנהל	1:לשלוט | 2:לנהל
w2541	grapes	ענבים	ענב	1:ענב
w2544	grocery	מכולת	מכולת | מצרכים	2:מצרכים
w2545	guidance	הנחיה, הכוונה, הנהגה	הדרכה | הכוונה	1:הדרכה
w2546	handful	קומץ	קומץ | חופן	2:חופן
w2550	herb	עשב	עשב תיבול	1:עשב תיבול
w2553	housemaid	עוזרת בית, מנקה	עוזרת בית | משרתת	2:משרתת
w2558	idolize	להעריץ	להאליל | להעריץ	1:להאליל
w2563	implement	ליישם, להוציא לפועל	ליישם | כלי	2:כלי
w2566	inconsistent	לא עקבי	לא עקבי | סותר	2:סותר
w2570	ingredient	מרכיב	מרכיב | רכיב	2:רכיב
w2571	initiated	יזם, התחיל, אִתְחֵל	ליזום | להתחיל	1:ליזום | 2:להתחיל
w2577	interior	פנימי	פנימי | פנים	2:פנים
w2579	interpretation	פרשנות	פרשנות | פירוש	2:פירוש
w2581	invaders	פולשים	פולש	1:פולש
w2584	inventory	מצאי	מלאי | רשימת מלאי	1:מלאי | 2:רשימת מלאי
w2585	jewel	תכשיט	תכשיט | אבן חן	2:אבן חן
w2587	just as... so...	בדיוק כמו... גם	כשם ש... כך	1:כשם ש... כך
w2589	knot	קשר	קשר | לקשור	2:לקשור
w2596	malfunction	כשל, ליקוי	תקלה | להתקלקל	1:תקלה | 2:להתקלקל
w2597	manufacture	ייצר	לייצר | ייצור	1:לייצר | 2:ייצור
w2598	margin	שוליים, מרווח	שוליים | רווח | הפרש	2:רווח | 3:הפרש
w2604	merge	למזג, לחבר	למזג | להתמזג	2:להתמזג
w2606	misbehave	להתנהג בצורה לא הולמת	להתנהג רע | להשתובב	1:להתנהג רע | 2:להשתובב
w2610	narration	קריינות	קריינות | תיאור	2:תיאור
w2612	obligation	התחייבות	התחייבות | חובה	2:חובה
w2613	observer	משקיף	משקיף | צופה	2:צופה
w2615	occasional	מדי פעם, מקרי	מזדמן | לא תדיר	1:מזדמן | 2:לא תדיר
w2616	occasionally	מידי פעם	מדי פעם | לעיתים	1:מדי פעם | 2:לעיתים
w2617	occasions	הזדמנויות, מקרים	אירוע | הזדמנות	1:אירוע | 2:הזדמנות
w2618	offender	פושע, פוגע	עבריין	1:עבריין
w2619	offense	עבירה; פגיעה	עבירה | עלבון | התקפה	2:עלבון | 3:התקפה
w2623	outlaw	להוציא אל מחוץ לחוק; פורע חוק	לאסור | פורע חוק	1:לאסור
w2624	outpost	מוצב, נקודת קצה	מוצב | מאחז	2:מאחז
w2626	overlaps	חופף	לחפוף | חפיפה	1:לחפוף | 2:חפיפה
w2627	overly	יותר מידי	יותר מדי	1:יותר מדי
w2629	partial	חלקי	חלקי | מוטה	2:מוטה
w2630	participate	השתתף	להשתתף	1:להשתתף
w2631	peek	להציץ	להציץ | הצצה	2:הצצה
w2632	performer	מבצע, מציג	מבצע | אמן	2:אמן
w2635	poll	סקר, הצבעה	סקר | קלפי	2:קלפי
w2640	predict	לצפות מראש	לחזות | לנבא	1:לחזות | 2:לנבא
w2641	prediction	חיזוי, ניבוי	תחזית | ניבוי	1:תחזית
w2642	preserve	לשמר	לשמר | שמורה | ריבה	2:שמורה | 3:ריבה
w2646	promote	לקדם	לקדם | לפרסם	2:לפרסם
w2647	proportion	שיעור, מידה	יחס | פרופורציה | חלק	1:יחס | 2:פרופורציה | 3:חלק
w2648	proposition	הצעה	הצעה | טענה	2:טענה
w2649	publicized	פורסם	לפרסם	1:לפרסם
w2650	pupil	תלמיד	תלמיד | אישון	2:אישון
w2653	puzzled	מבולבל	מבולבל | תמה	2:תמה
w2654	quake	רעד	לרעוד | רעידת אדמה	1:לרעוד | 2:רעידת אדמה
w2655	qualify	להיות מוסמך	להעפיל | להסמיך	1:להעפיל | 2:להסמיך
w2656	railroad	מסילת רכבת	מסילת ברזל | רכבת	1:מסילת ברזל | 2:רכבת
w2660	reconstruct	לשחזר	לשחזר | לבנות מחדש	2:לבנות מחדש
w2662	recruit	לגייס	לגייס | טירון	2:טירון
w2664	refer	מתייחס	להתייחס | להפנות	1:להתייחס | 2:להפנות
w2666	reflection	השתקפות	השתקפות | הרהור	2:הרהור
w2668	regain	להשיג מחדש	להשיב | לשחזר	1:להשיב | 2:לשחזר
w2669	regardless	למרות, ללא קשר	בכל זאת | ללא קשר	1:בכל זאת
w2671	regulation	תקנה	תקנה | רגולציה	2:רגולציה
w2673	relate	להתייחס, לקשר	להתייחס | לספר	2:לספר
w2674	relating	מתייחס	להתייחס | לספר	1:להתייחס | 2:לספר
w2676	relocate	למקם מחדש	לעבור | להעביר	1:לעבור | 2:להעביר
w2680	reside	להתגורר, לשכון	להתגורר | לגור	2:לגור
w2681	resigned	התפטר	להתפטר | משלים	1:להתפטר | 2:משלים
w2684	resume	להמשיך	להמשיך | קורות חיים	2:קורות חיים
w2685	revert	לחזור למצב קודם	לחזור	1:לחזור
w2687	revision	בדיקה מחדש לצורך שיפור	תיקון | עדכון	1:תיקון | 2:עדכון
w2688	revived	קם לתחייה, התחדש	להחיות | להתאושש	1:להחיות | 2:להתאושש
w2689	revolt	מרד	מרד | למרוד	2:למרוד
w2690	rhyme	חרוז	חרוז | לחרוז	2:לחרוז
w2692	robe	חלוק	חלוק | גלימה	2:גלימה
w2694	safeguard	להגן; אמצעי הגנה	להגן | הגנה	2:הגנה
w2697	scholar	אקדמאי, בעל מלגה, מלומד	מלומד | חוקר	2:חוקר
w2698	sensation	תחושה	תחושה | סנסציה	2:סנסציה
w2700	shuttle	מעבורת	הסעה | מעבורת	1:הסעה
w2701	sibling	אח או אחות	אח | אחות	1:אח | 2:אחות
w2702	sideways	הצידה	הצידה | לרוחב	2:לרוחב
w2705	simultaneously	בו זמנית	בו-זמנית | במקביל	1:בו-זמנית | 2:במקביל
w2707	slaughter	לטבוח, לשחוט, טֶבַח	טבח | שחיטה | לטבוח	2:שחיטה
w2709	sneeze	להתעטש	להתעטש | עיטוש	2:עיטוש
w2710	spark	גיץ, ניצוץ	ניצוץ | לעורר | להצית	2:לעורר | 3:להצית
w2711	specify	לפרט	לציין | לפרט	1:לציין
w2714	stain	כתם	כתם | להכתים	2:להכתים
w2715	stalk	גבעול, קנה; לעקוב/לארוב אחרי, להטריד	לעקוב אחרי | גבעול	1:לעקוב אחרי
w2717	stunned	נדהם, היה המום	המום	1:המום
w2718	substitute	תחליף	תחליף | להחליף	2:להחליף
w2719	suburb	פרבר	פרוור	1:פרוור
w2722	summits	פסגות	פסגה | ועידת פסגה	1:פסגה | 2:ועידת פסגה
w2724	supervise	לפקח	לפקח | להשגיח	2:להשגיח
w2725	suppress	לדכא, לכבוש	לדכא | להשתיק	2:להשתיק
w2728	suspend	להשעות	להשעות | לתלות | להשהות	2:לתלות | 3:להשהות
w2733	terrify	להפחיד, להבעית	להפחיד | להבהיל	2:להבהיל
w2734	tilt	להטות, שיפוע	להטות | הטיה	2:הטיה
w2735	tolerance	סובלנות	סובלנות | סבילות	2:סבילות
w2737	transmit	לשדר	לשדר | להעביר	2:להעביר
w2739	trim	לגזום	לגזום | לקצץ	2:לקצץ
w2740	triumph	ניצחון	ניצחון | לנצח	2:לנצח
w2741	troop	יחידה צבאית; חייל	יחידה	1:יחידה
w2742	tutor	מורה פרטי, להדריך	מורה פרטי | ללמד	2:ללמד
w2744	unconcerned	לא מודאג	אדיש | לא מודאג	1:אדיש
w2745	unconventional	לא שיגרתי	לא שגרתי	1:לא שגרתי
w2748	unholy	לא קדוש, לא מוסרי	לא קדוש | נורא	2:נורא
w2751	utilize	השתמש	להשתמש ב | לנצל	1:להשתמש ב | 2:לנצל
w2752	validate	אימת, נתן תוקף	לאמת | לאשר	1:לאמת | 2:לאשר
w2755	vary	משתנה	להשתנות	1:להשתנות
w2757	vest	אפודה	אפוד | גופייה	1:אפוד | 2:גופייה
w2759	voyage	מסע	מסע | הפלגה	2:הפלגה
w2760	wander	להסתובב, לשוטט	לשוטט | לתעות	2:לתעות
w2761	whether... or...	בין אם... או...	בין אם... ובין אם...	1:בין אם... ובין אם...
w2762	widely	בצורה נרחבת	בהרחבה	1:בהרחבה
w2771	acknowledge	להכיר ב-, להודות ב-; לאשר קבלה	להודות | לאשר	1:להודות | 2:לאשר
w2774	adjust	להתרגל; לכוונן	להתאים	1:להתאים
w2775	admirable	נערץ, ראוי להערצה	מעורר הערצה | מרשים	1:מעורר הערצה | 2:מרשים
w2776	advancement	התקדמות; מקדמה	קידום | התקדמות	1:קידום
w2777	advocate	תומך, מצדד; פרקליט; לדגול ב-, לתמוך בגלוי ב-	לתמוך | תומך	1:לתמוך
w2781	airborne	נישא באוויר	מוטס | באוויר	1:מוטס | 2:באוויר
w2784	alternate	חלופי; התחלף, עבר מדבר אחד לשני וחזרה	להתחלף | חלופי	1:להתחלף
w2789	appeal	לבקש; מדבר אל, מושך; לערער	משיכה | לפנות | לערער	1:משיכה | 2:לפנות
w2790	applaud	מחא כפיים, הריע	למחוא כפיים | להריע	1:למחוא כפיים | 2:להריע
w2791	appreciation	הערכה	הערכה | תודה	2:תודה
w2793	arise	להופיע, לעלות	לצוץ | להתעורר	1:לצוץ | 2:להתעורר
w2794	arousing	מעורר	מעורר | מגרה | לעורר	2:מגרה | 3:לעורר
w2797	audit	ביקורת	ביקורת | לבקר	2:לבקר
w2799	bare	חשוף, ריק, לחשוף	חשוף | עירום	2:עירום
w2802	beneficial	מועיל, רווחי	מועיל | מיטיב	2:מיטיב
w2803	beware	היזהר	להיזהר	1:להיזהר
w2806	breed	מין, גזע; להרביע, להפרות	לגדל | זן	1:לגדל | 2:זן
w2807	briefly	בקצרה	בקצרה | לזמן קצר	2:לזמן קצר
w2810	cater	לספק	לספק קייטרינג | לשרת	1:לספק קייטרינג | 2:לשרת
w2815	certainty	וודאות	ודאות	1:ודאות
w2817	characteristic	מאפיין	מאפיין | אופייני	2:אופייני
w2818	civil	אדיב; אזרחי	אזרחי | מנומס	2:מנומס
w2819	cockroach	מקק, ג'וק	ג'וק | תיקן	2:תיקן
w2820	coffin	ארון מתים	ארון קבורה	1:ארון קבורה
w2822	cologne	קולון, בושם (של גבר)	אודקולון | בושם	1:אודקולון
w2823	colossal	עצום	עצום | ענק	2:ענק
w2825	comply	להסכים, לציית	לציית | לקיים	2:לקיים
w2829	conquistador	כובש	כובש | קונקיסטדור	2:קונקיסטדור
w2831	conserve	לשמר	לשמר | לחסוך	2:לחסוך
w2832	considering	בהתחשב ב-, לאור; (כפועל) שוקל	בהתחשב ב | לאור	1:בהתחשב ב
w2834	continuity	המשכיות, רצף הגיוני	רציפות | המשכיות	1:רציפות
w2838	conveniently	באופן נוח	בנוחות	1:בנוחות
w2839	convention	מוסכמה; ועידה, כנס	מוסכמה | כנס | אמנה	3:אמנה
w2844	cripple	להטיל מום	לשתק | נכה	1:לשתק | 2:נכה
w2845	crucial	מכריע, קריטי	חיוני | קריטי	1:חיוני
w2848	dart	חץ	חץ | לזנק	2:לזנק
w2849	dealt	עסק ב, חולק (קלפים, ניירת)	להתמודד | לטפל | לחלק	1:להתמודד | 2:לטפל | 3:לחלק
w2850	decay	ריקבון	להירקב | ריקבון	1:להירקב
w2851	decline	לרדת; לדחות; ירידה	לרדת | לסרב | ירידה	2:לסרב
w2853	deflate	להוציא אוויר מ-	לרוקן | להחליש	1:לרוקן | 2:להחליש
w2855	delight	תענוג	תענוג | לשמח	2:לשמח
w2858	descend	ירד, הדרדר	לרדת	1:לרדת
w2859	despair	להתייאש	ייאוש | להתייאש	1:ייאוש
w2860	despise	לתעב	לבוז | לתעב	1:לבוז
w2862	determined	נחוש, נחרץ	נחוש | לקבוע	2:לקבוע
w2864	discontent	חוסר שביעות רצון	אי שביעות רצון	1:אי שביעות רצון
w2865	discourage	לשכנע שלא לעשות משהו	לייאש | להניא	1:לייאש | 2:להניא
w2866	disgrace	בושה	חרפה | קלון	1:חרפה | 2:קלון
w2868	disposable	חד-פעמי	חד פעמי	1:חד פעמי
w2870	disregard	להתעלם	להתעלם | זלזול	2:זלזול
w2871	dissolve	להתמוסס	להתמוסס | לפרק	2:לפרק
w2872	distinct	ברור, נפרד	מובהק | נבדל	1:מובהק | 2:נבדל
w2873	distinctive	מיוחד	ייחודי	1:ייחודי
w2874	distress	מצוקה	מצוקה | לצער	2:לצער
w2875	disuse	חוסר שימוש	אי-שימוש	1:אי-שימוש
w2877	divine	אלוהי	אלוהי | לנחש	2:לנחש
w2879	dread	פחד, לפחד	לחשוש | אימה	1:לחשוש | 2:אימה
w2880	due	צריך להיעשות, זמנו הגיע; בשל	מגיע | צפוי	1:מגיע | 2:צפוי
w2881	eager	נלהב, משתוקק, כמה	להוט | נלהב	1:להוט
w2883	embrace	לחבק, לאמץ לקרבו	לחבק | לאמץ	2:לאמץ
w2884	emerge	להגיח, להופיע	לצוץ | להופיע	1:לצוץ
w2887	endurance	כוח סבל	סיבולת	1:סיבולת
w2888	endure	לסבול, להחזיק מעמד	לסבול | לשרוד	2:לשרוד
w2889	enhance	להעצים	לשפר | להעצים	1:לשפר
w2890	enthusiast	חובב נלהב	חובב	1:חובב
w2892	estate	אחוזה; נכס	אחוזה | עיזבון	2:עיזבון
w2894	excessive	יתר, מוגזם	מופרז	1:מופרז
w2896	exhaust	לרוקן, למצות, להתיש; (ש״ע) גזי פליטה, צינור מפלט	להתיש | למצות | פליטה	3:פליטה
w2897	exile	להגלות, לגרש	גלות | להגלות | גולה	1:גלות | 3:גולה
w2899	exploit	פעולות, מעשים; לנצל, להפיק תועלת	לנצל | הישג	2:הישג
w2900	extensive	נרחב	נרחב | מקיף	2:מקיף
w2902	fabric	בד	בד | מרקם	2:מרקם
w2906	fine	קטן, עדין, דקיק; משביע רצון; משובח, מצוין; קנס	בסדר | קנס | עדין	1:בסדר
w2907	firm	מוצק; נחוש, תקיף; חברה (פירמה)	יציב | תקיף | חברה	1:יציב
w2908	footage	קטע צילום	קטעי וידאו	1:קטעי וידאו
w2909	for the sake of	למען	למען | בשביל	2:בשביל
w2910	forceful	תקיף, נמרץ, בעל עוצמה	תקיף | עוצמתי	2:עוצמתי
w2911	foresee	לצפות מראש	לצפות	1:לצפות
w2913	fraction	שבר	שבר | חלק קטן	2:חלק קטן
w2914	fracture	שבר	שבר | לשבור	2:לשבור
w2915	fragrance	ניחוח	ניחוח | בושם	2:בושם
w2916	fundraiser	מגייס כספים	גיוס כספים	1:גיוס כספים
w2918	furthermore	זאת ועוד	יתר על כן	1:יתר על כן
w2919	genesis	ספר בראשית; היווצרות, התהוות	ראשית	1:ראשית
w2921	glance	מבט חטוף	מבט | להעיף מבט	1:מבט | 2:להעיף מבט
w2922	goods	סחורה, טובין	סחורה | מוצרים	2:מוצרים
w2923	grace	חסד, חינניות	חן | חסד	1:חן
w2927	grief	יגון, צער	צער | אבל	2:אבל
w2929	growled	נהם	לנהום	1:לנהום
w2930	habitat	סביבת מגורים	בית גידול | סביבת מחיה	1:בית גידול | 2:סביבת מחיה
w2931	halve	לחלק לשניים, להקטין בחצי	לחלק לחצי	1:לחלק לחצי
w2938	hibernate	לישון שנת חורף	לחרוף	1:לחרוף
w2943	howl	יללה, לילל	לייליל | יללה	1:לייליל
w2945	ignite	להצית	להצית | לעורר	2:לעורר
w2949	implications	השלכות, משמעות	השלכה | משמעות	1:השלכה
w2951	impose	לכפות	להטיל | להטריח	1:להטיל | 2:להטריח
w2952	imprisoned	כלוא	לכלוא | כלוא	1:לכלוא
w2953	impulsively	ללא שיקול דעת	בפזיזות	1:בפזיזות
w2955	inadequate	לקוי, לא מספיק	לא מספיק | לא הולם	2:לא הולם
w2956	incidentally	דרך אגב	אגב	1:אגב
w2957	incompetence	חוסר יכולת	חוסר כשירות	1:חוסר כשירות
w2958	indebted	חייב ל-, אסיר תודה	אסיר תודה | חייב	2:חייב
w2961	infiltrate	להסתנן	לחדור	1:לחדור
w2963	inhabitants	תושבים	תושב	1:תושב
w2967	intact	ללא פגע	שלם | ללא פגע	1:שלם
w2968	intersection	צומת, הצטלבות	צומת | חיתוך	2:חיתוך
w2970	intimidate	להפחיד	להפחיד | לאיים	2:לאיים
w2971	irresistible	שלא ניתן לעמוד בפניו	מפתה | כובש	1:מפתה | 2:כובש
w2974	janitor	שרת	אב בית | שרת	1:אב בית
w2976	laid	מונח	להניח | להטיל	1:להניח | 2:להטיל
w2977	lean	להישען	להישען | רזה	2:רזה
w2978	lie, lay	לשכב, שכב	לשכב | להימצא	2:להימצא
w2979	likewise	כמו-כן, באותו אופן	כמו כן | גם כן	1:כמו כן | 2:גם כן
w2980	limb	גף, איבר; קצה	גפה | איבר	1:גפה
w2982	lurking	אורב, מתגנב	לארוב | להתחבא	1:לארוב | 2:להתחבא
w2983	magnitude	גודל, חשיבות	גודל | עוצמה	2:עוצמה
w2988	massacre	טֶבַח	טבח | לטבוח	2:לטבוח
w2989	mastery	מומחיות	שליטה | מומחיות	1:שליטה
w2990	match	גפרור; התאמה, להתאים	משחק | גפרור | להתאים	1:משחק
w2993	medieval	מתקופת ימי הביניים	ביניימי	1:ביניימי
w2994	merely	רק, לא יותר מ-	רק | בסך הכל	2:בסך הכל
w2996	merit	ערך, הישג	מעלה | להצדיק	1:מעלה | 2:להצדיק
w2997	mild	מתון, עדין	מתון | קל	2:קל
w3000	misty	מעורפל	ערפילי | מעורפל	1:ערפילי
w3001	mock	ללעוג	ללעוג | מדומה	2:מדומה
w3003	modest	צנוע	צנוע | מתון	2:מתון
w3004	moist	לח, לחלוחי, טחוב	לח | רטוב	2:רטוב
w3005	mole	חפרפרת; שומה	חפרפרת | שומה | מרגל	3:מרגל
w3006	moreover	זאת ועוד	יתרה מזאת | בנוסף	1:יתרה מזאת | 2:בנוסף
w3008	mourning	אבל, מתאבל	אבל | להתאבל	2:להתאבל
w3009	mutually	באופן שווה/הדדי	הדדית	1:הדדית
w3013	nevertheless	למרות זאת	בכל זאת	1:בכל זאת
w3014	newscaster	מגיש חדשות	קריין חדשות	1:קריין חדשות
w3015	nobility	אצולה	אצולה | אצילות	2:אצילות
w3017	numb	רדום, חסר תחושה	קהה	1:קהה
w3018	numerous	מרובה	רב	1:רב
w3019	nursery	חדר ילדים, פעוטון; משתלה	משתלה | חדר תינוקות | גן ילדים	2:חדר תינוקות | 3:גן ילדים
w3024	occupy	להעסיק; לתפוס, לאכלס	לתפוס | לכבוש | להעסיק	2:לכבוש
w3025	occurrence	התרחשות	מקרה | התרחשות	1:מקרה
w3027	offshore	מול החוף, בלב ים, הרחק מהחוף; מעבר לים (חשבון/חברה)	בלב ים | בחו"ל	2:בחו"ל
w3028	oriented	מכוון, מונחה	מוכוון	1:מוכוון
w3031	outline	תוואי, מתאר, קווים כלליים	מתאר | לתאר	2:לתאר
w3032	oversee	לפקח	לפקח על	1:לפקח על
w3036	pedestrian	הולך רגל	הולך רגל | שגרתי	2:שגרתי
w3038	persist	להתמיד, להתעקש	להתמיד | להימשך	2:להימשך
w3040	pest	מטרד, מזיק (חרקים)	מזיק | טרדן	2:טרדן
w3044	pinch	לצבוט	לצבוט | קורט | לגנוב	2:קורט | 3:לגנוב
w3045	pioneer	חלוץ	חלוץ | לפרוץ דרך	2:לפרוץ דרך
w3046	plaster	טיח	טיח | פלסטר	2:פלסטר
w3047	plead	לעתור, להתחנן	להתחנן | לטעון	2:לטעון
w3048	pledge	להתחייב	התחייבות | להתחייב	1:התחייבות
w3049	plentiful	מלא, שופע	שופע | רב	2:רב
w3050	possess	להיות בעלים של, להחזיק ב-	להחזיק | לאחוז	1:להחזיק | 2:לאחוז
w3052	premature	מוקדם מדי	מוקדם | פג	1:מוקדם | 2:פג
w3054	prick	לדקור	לדקור | דקירה	2:דקירה
w3055	principal	מנהל בית ספר; ראשי, עיקרי; קרן (הלוואה)	מנהל | עיקרי | קרן	1:מנהל
w3056	probe	לחטט, לברר, לגשש	חקירה | לחקור	1:חקירה | 2:לחקור
w3058	prominent	בולט, חשוב	בולט | נודע	2:נודע
w3063	province	מחוז, אזור	מחוז | תחום	2:תחום
w3064	pursue	לרדוף	לרדוף | לשאוף	2:לשאוף
w3065	query	שאלה, חקירה	שאלה | שאילתה	2:שאילתה
w3068	recreation	בילוי	בילוי | שחזור	2:שחזור
w3070	recur	קרה שוב	להישנות | לחזור	1:להישנות | 2:לחזור
w3071	refined	מעודן, מלוטש	מעודן | מזוקק	2:מזוקק
w3072	regard	להתייחס, להחשיב	להתייחס | כבוד	2:כבוד
w3073	regulate	לווסת	להסדיר | לווסת	1:להסדיר
w3075	rehearse	לחזור, לתרגל	לתרגל | לערוך חזרה	2:לערוך חזרה
w3076	reinforce	לתגבר, לחזק	לחזק | לבסס	2:לבסס
w3078	rely	להסתמך	להסתמך על	1:להסתמך על
w3079	remainder	שארית	שארית | יתרה	2:יתרה
w3080	remedy	תרופה	תרופה | לתקן	2:לתקן
w3081	repelled	דחה, הגעיל	לדחות | להדוף	1:לדחות | 2:להדוף
w3082	resemble	דומה	להידמות ל	1:להידמות ל
w3085	restoration	שיקום, השבה	שיקום | שחזור	2:שחזור
w3086	restrain	לרסן	לרסן | לעצור	2:לעצור
w3091	revitalize	להחיות	להחיות מחדש	1:להחיות מחדש
w3092	rid	להיפטר מ-	להיפטר מ	1:להיפטר מ
w3093	rim	שפה	שפה | חישוק	2:חישוק
w3096	scarce	נדיר	נדיר | מועט	2:מועט
w3097	scatter	לפזר	לפזר | להתפזר	2:להתפזר
w3098	sensible	נבון	הגיוני | נבון	1:הגיוני
w3099	sentiments	רגשות	רגש | דעה	1:רגש | 2:דעה
w3100	settle	להתיישב; להסדיר	ליישב | להתיישב | לסלק	1:ליישב | 3:לסלק
w3101	shatter	לנפץ, להרוס, לקעקע	לנפץ | להתנפץ	2:להתנפץ
w3102	shepherd	רועה צאן	רועה	1:רועה
w3104	sighting	תצפית, מראה	תצפית | איתור	2:איתור
w3106	skinned	פשט עור	לקלף	1:לקלף
w3108	slender	רזה	רזה | דק	2:דק
w3109	soil	אדמה; לכלוך	אדמה | ללכלך	2:ללכלך
w3110	solely	בלבד, רק	אך ורק	1:אך ורק
w3111	solitary	מבודד	בודד	1:בודד
w3114	spike	יתד	זינוק | מסמר	1:זינוק | 2:מסמר
w3115	steer	לנווט, להוביל	להגות | לכוון	1:להגות | 2:לכוון
w3116	stem	גבעול, גזע; לנבוע מ-, להיווצר מ-	גבעול | לנבוע	2:לנבוע
w3117	stiff	נוקשה	נוקשה | קשיח	2:קשיח
w3123	supplement	תוסף	תוסף | להשלים	2:להשלים
w3125	sustain	לתמוך; סבל מ-; להמשיך באותה צורה	לקיים	1:לקיים
w3126	tame	לאלף, לבית	מבויית | לאלף	1:מבויית
w3128	tender	רך	רך | עדין	2:עדין
w3130	tin	בדיל, עשוי מפח	פח | קופסה	1:פח | 2:קופסה
w3132	tolerate	לסבול	לסבול | להשלים עם	2:להשלים עם
w3134	transcript	תמליל, פרוטוקול	תמליל | גיליון ציונים	2:גיליון ציונים
w3139	unrest	חוסר שקט	מהומה | אי שקט	1:מהומה | 2:אי שקט
w3140	urge	לעודד, לדחוף ; דחף, רצון, תשוקה	לקרוא ל | דחף	1:לקרוא ל
w3143	validity	תוקף	תוקף | תקפות	2:תקפות
w3145	verdict	פסק דין, פסיקה	פסק דין | הכרעה	2:הכרעה
w3148	violate	להפר, לחלל	להפר | לפגוע	2:לפגוע
w3151	virtually	למעשה, בעצם	כמעט | באופן וירטואלי	1:כמעט | 2:באופן וירטואלי
w3152	wage	לערוך, לנהל; משכורת	שכר | לנהל	1:שכר
w3153	wanted	מבוקש	לרצות | מבוקש	1:לרצות
w3158	welfare	סעד	רווחה	1:רווחה
