⛔ מועמדים · לא עברו פאנל · אינם ממצאים
מילה	פירוש היום	מה השופט העיוור כתב	מובן שאינו במאגר
nursery	חדר ילדים, פעוטון; משתלה	משתלה | חדר תינוקות | גן ילדים	2:חדר תינוקות | 3:גן ילדים
occupy	להעסיק; לתפוס, לאכלס	לתפוס | לכבוש | להעסיק	2:לכבוש
occurrence	התרחשות	מקרה | התרחשות	1:מקרה
offshore	מול החוף, בלב ים, הרחק מהחוף; מעבר לים (חשבון/חברה)	בלב ים | בחו"ל	2:בחו"ל
oriented	מכוון, מונחה	מוכוון	1:מוכוון
outline	תוואי, מתאר, קווים כלליים	מתאר | לתאר	2:לתאר
pedestrian	הולך רגל	הולך רגל | שגרתי	2:שגרתי
persist	להתמיד, להתעקש	להתמיד | להימשך	2:להימשך
pest	מטרד, מזיק (חרקים)	מזיק | טרדן	2:טרדן
pinch	לצבוט	לצבוט | קורט | לגנוב	2:קורט | 3:לגנוב
pioneer	חלוץ	חלוץ | לפרוץ דרך	2:לפרוץ דרך
plaster	טיח	טיח | פלסטר	2:פלסטר
plead	לעתור, להתחנן	להתחנן | לטעון	2:לטעון
pledge	להתחייב	התחייבות | להתחייב	1:התחייבות
plentiful	מלא, שופע	שופע | רב	2:רב
possess	להיות בעלים של, להחזיק ב-	להחזיק | לאחוז	1:להחזיק | 2:לאחוז
premature	מוקדם מדי	מוקדם | פג	1:מוקדם | 2:פג
prick	לדקור	לדקור | דקירה	2:דקירה
principal	מנהל בית ספר; ראשי, עיקרי; קרן (הלוואה)	מנהל | עיקרי | קרן	1:מנהל
probe	לחטט, לברר, לגשש	חקירה | לחקור	1:חקירה | 2:לחקור
prominent	בולט, חשוב	בולט | נודע	2:נודע
pursue	לרדוף	לרדוף | לשאוף	2:לשאוף
query	שאלה, חקירה	שאלה | שאילתה	2:שאילתה
recreation	בילוי	בילוי | שחזור	2:שחזור
recur	קרה שוב	להישנות | לחזור	1:להישנות | 2:לחזור
refined	מעודן, מלוטש	מעודן | מזוקק	2:מזוקק
regard	להתייחס, להחשיב	להתייחס | כבוד	2:כבוד
regulate	לווסת	להסדיר | לווסת	1:להסדיר
rehearse	לחזור, לתרגל	לתרגל | לערוך חזרה	2:לערוך חזרה
reinforce	לתגבר, לחזק	לחזק | לבסס	2:לבסס
rely	להסתמך	להסתמך על	1:להסתמך על
remainder	שארית	שארית | יתרה	2:יתרה
remedy	תרופה	תרופה | לתקן	2:לתקן
repelled	דחה, הגעיל	לדחות | להדוף	1:לדחות | 2:להדוף
restoration	שיקום, השבה	שיקום | שחזור	2:שחזור
revitalize	להחיות	להחיות מחדש	1:להחיות מחדש
rid	להיפטר מ-	להיפטר מ	1:להיפטר מ
scarce	נדיר	נדיר | מועט	2:מועט
scatter	לפזר	לפזר | להתפזר	2:להתפזר
sensible	נבון	הגיוני | נבון	1:הגיוני
sentiments	רגשות	רגש | דעה	1:רגש | 2:דעה
settle	להתיישב; להסדיר	ליישב | להתיישב | לסלק	1:ליישב | 3:לסלק
shatter	לנפץ, להרוס, לקעקע	לנפץ | להתנפץ	2:להתנפץ
shepherd	רועה צאן	רועה	1:רועה
sighting	תצפית, מראה	תצפית | איתור	2:איתור
skinned	פשט עור	לקלף	1:לקלף
slender	רזה	רזה | דק	2:דק
soil	אדמה; לכלוך	אדמה | ללכלך	2:ללכלך
solely	בלבד, רק	אך ורק	1:אך ורק
solitary	מבודד	בודד	1:בודד
spike	יתד	זינוק | מסמר	1:זינוק | 2:מסמר
steer	לנווט, להוביל	להגות | לכוון	1:להגות | 2:לכוון
stem	גבעול, גזע; לנבוע מ-, להיווצר מ-	גבעול | לנבוע	2:לנבוע
supplement	תוסף	תוסף | להשלים	2:להשלים
sustain	לתמוך; סבל מ-; להמשיך באותה צורה	לקיים	1:לקיים
tame	לאלף, לבית	מבויית | לאלף	1:מבויית
tender	רך	רך | עדין	2:עדין
tin	בדיל, עשוי מפח	פח | קופסה	1:פח | 2:קופסה
transcript	תמליל, פרוטוקול	תמליל | גיליון ציונים	2:גיליון ציונים
unrest	חוסר שקט	מהומה | אי שקט	1:מהומה | 2:אי שקט
urge	לעודד, לדחוף ; דחף, רצון, תשוקה	לקרוא ל | דחף	1:לקרוא ל
validity	תוקף	תוקף | תקפות	2:תקפות
verdict	פסק דין, פסיקה	פסק דין | הכרעה	2:הכרעה
violate	להפר, לחלל	להפר | לפגוע	2:לפגוע
virtually	למעשה, בעצם	כמעט | באופן וירטואלי	1:כמעט | 2:באופן וירטואלי
wage	לערוך, לנהל; משכורת	שכר | לנהל	1:שכר
wanted	מבוקש	לרצות | מבוקש	1:לרצות
welfare	סעד	רווחה	1:רווחה
widespread	נפוץ	נפוץ | רחב היקף	2:רחב היקף
withstand	להתמודד, לעמוד ב-	לעמוד בפני	1:לעמוד בפני
accommodate	להכיל, לפנות מקום ל-; להתאים (לצרכים); לאכסן, לשכן	להכיל | להתחשב	2:להתחשב
accustomed	מורגל	רגיל | מורגל	1:רגיל
acquitted	זוכה מאשמה	לזכות	1:לזכות
adhere	לדבוק ב-, לדגול ב-	לדבוק | להידבק	1:לדבוק | 2:להידבק
administer	לנהל, לפקח; לתת, לחלק	לנהל | להעניק	2:להעניק
adolescence	גיל ההתבגרות	התבגרות	1:התבגרות
algae	אצות	אצה	1:אצה
alienation	ניכור, הרחקה	ניכור | התנכרות	2:התנכרות
alterations	שינויים	שינוי | תיקון	1:שינוי | 2:תיקון
ambiguous	דו משמעי, לא לגמרי ברור	דו-משמעי | מעורפל	1:דו-משמעי | 2:מעורפל
ample	מספיק, שופע, גדול	מספיק | נרחב	2:נרחב
annually	אחת לשנה, בכל שנה	מדי שנה	1:מדי שנה
arguably	ניתן לטעון ש-, כנראה	לכאורה | כנראה	1:לכאורה
arise, arose	לקום, קם	לצוץ | לקום	1:לצוץ
ark	תיבה	תיבה | ארון	2:ארון
array	מערך; מגוון	מערך | מבחר	2:מבחר
assert	לטעון בתוקף, להצהיר	לטעון	1:לטעון
attain	להשיג, להגיע	להשיג | להגיע ל	2:להגיע ל
attendant	משרת, מטפל, מלווה	מלווה | דייל	2:דייל
awe	יראת כבוד	יראת כבוד | התפעלות	2:התפעלות
beam	קרן; קורה	קרן | קורה | לחייך	3:לחייך
being that	מכיוון ש-	היות ו | מכיוון ש	1:היות ו | 2:מכיוון ש
burden	עול	נטל | עול | להכביד	1:נטל | 3:להכביד
burglar	פורץ	פורץ | גנב	2:גנב
by no means	בשום אופן לא, כלל לא	בשום אופן	1:בשום אופן
carve	לגלף, לחטוב; לחתוך (בשר); לחרוט	לגלף | לחרוט | לפרוס	3:לפרוס
cavity	חור	חלל | עששת	1:חלל | 2:עששת
circulate	להפיץ; לנוע במחזוריות	לזרום | להפיץ	1:לזרום
circumstance	מצב, תנאי, נסיבות	נסיבה	1:נסיבה
communal	משותף, ציבורי	קהילתי | משותף	1:קהילתי
comparable	בר-השוואה	דומה | בר השוואה	1:דומה | 2:בר השוואה
comparatively	באופן יחסי	יחסית	1:יחסית
compel	לאלץ, לחייב	לאלץ | לכפות	2:לכפות
conceal	להסתיר	להסתיר | להעלים	2:להעלים
conception	תפיסה	תפיסה | התעברות	2:התעברות
conclusively	סופית, באופן החלטי	סופית | חד משמעית	2:חד משמעית
condemned	לגנות; נידון ל-	לגנות | נידון	2:נידון
condense	לתמצת, לצמצם; לדחוס, לרכז; לעבות (גז לנוזל)	לתמצת | להתעבות	2:להתעבות
consequently	כתוצאה מכך	לפיכך | כתוצאה מכך	1:לפיכך
considerable	הרבה, רבות	ניכר | משמעותי	1:ניכר | 2:משמעותי
consist	מורכב מ-	להיות מורכב | להכיל	1:להיות מורכב | 2:להכיל
consolidate	לאחד, לגבש	לאחד | לבסס	2:לבסס
constitute	מהווים; להקים, לייסד	להוות	1:להוות
contemporary	עכשווי, מודרני; בן-זמנו, בן-תקופה	עכשווי | בן זמננו	2:בן זמננו
correspondence	התכתבות	התכתבות | התאמה	2:התאמה
counsel	לייעץ, להדריך; פרקליט, יועץ	עצה | לייעץ | עורך דין	1:עצה | 3:עורך דין
counterpart	בעל תפקיד מקביל, עמית, בן-זוג	מקבילה | עמית	1:מקבילה
courteous	אדיב	מנומס	1:מנומס
crave	להשתוקק	להשתוקק | לחשוק	2:לחשוק
deceased	נפטר	נפטר | מת	2:מת
deceive	להונות	להטעות | לרמות	1:להטעות | 2:לרמות
defer	לעכב, לדחות	לדחות | להישמע	2:להישמע
degenerate	להתנוון	להידרדר | מנוון	1:להידרדר | 2:מנוון
delusions	אשליות, הזיות	הזיה | אשליה	1:הזיה | 2:אשליה
derive	לשאוב, להפיק, לגזור מ-	לנבוע | להפיק	1:לנבוע
differences	חילוקי דעות	הבדל | שוני	1:הבדל | 2:שוני
disciples	תלמידים	תלמיד | חסיד	1:תלמיד | 2:חסיד
dispatch	לשגר	לשלוח | לשגר | דיווח	1:לשלוח | 3:דיווח
displacement	עקירה	עקירה | תזוזה	2:תזוזה
dispute	מחלוקת; לערער	מחלוקת | להתווכח	2:להתווכח
dissection	חיתוך, ביתור	ניתוח | נתיחה	1:ניתוח | 2:נתיחה
divert	להסיט, להפנות לכיוון אחר; להסיח את הדעת	להסיט | להטות	2:להטות
draw	תיקו, שוויון; לצייר	לצייר | למשוך | תיקו	2:למשוך
dwell	להתגורר	לגור | להתעכב	1:לגור | 2:להתעכב
dwelling	משכן, בית	מגורים | בית	1:מגורים
elusive	חמקמק	חמקמק | בלתי מושג	2:בלתי מושג
emergence	הופעה, היווצרות	הופעה | התהוות	2:התהוות
enlist	להתגייס	להתגייס | לגייס	2:לגייס
envision	לחזות, לצפות	לדמיין | לחזות	1:לדמיין
erroneous	שגוי	שגוי | מוטעה	2:מוטעה
erupt	התפרץ	להתפרץ	1:להתפרץ
esteemed	מכובד	מכובד | נערץ	2:נערץ
evade	התחמק	להתחמק	1:להתחמק
excessively	בצורה מוגזמת	בהפרזה | מדי	1:בהפרזה | 2:מדי
expendable	שניתן לוותר עליו	מתכלה | מיותר	1:מתכלה | 2:מיותר
familiarize	להתוודע	להכיר | להתוודע	1:להכיר
famine	רעב קשה	רעב	1:רעב
fascinate	לרתק	להקסים	1:להקסים
fast	צום; מהיר	מהיר | מהר | לצום	2:מהר | 3:לצום
forfeit	לוותר, להפסיד	לאבד | לוותר על	1:לאבד | 2:לוותר על
foster	לטפח, לעודד, לקדם; (הורה/ילד) אומן	לטפח | אומנה	2:אומנה
fugitive	נמלט, בורח מהחוק	נמלט | בורח	2:בורח
glimpse	הצצה, מבט חטוף	מבט חטוף | להבחין	2:להבחין
glorify	להאדיר	לפאר | להלל	1:לפאר | 2:להלל
gracious	חינני, אדיב	אדיב | נדיב	2:נדיב
hasten	למהר, להחפז	למהר | להאיץ	2:להאיץ
hasty	מהיר, בהול	נמהר | פזיז	1:נמהר | 2:פזיז
humility	ענוה	ענווה	1:ענווה
illuminate	להאיר	להאיר | להבהיר	2:להבהיר
impair	לפגום, להחליש	לפגוע | להחליש	1:לפגוע
impartial	אוביקטיבי, ללא צד	חסר פניות | אובייקטיבי	1:חסר פניות | 2:אובייקטיבי
in due time	בבוא העת	בבוא הזמן	1:בבוא הזמן
in order	תקין, מסודר	כדי	1:כדי
incorporate	לכלול, לשתף, לאגד	לשלב | להתאגד	1:לשלב | 2:להתאגד
induce	לגרום, לייצר	לגרום | לשכנע	2:לשכנע
inferred	נגזר, משתמע	להסיק	1:להסיק
inquiry	חקירה	בירור | חקירה	1:בירור
intrigue	לסקרן; תככים	לסקרן | קנוניה	2:קנוניה
intrusive	פולשני	פולשני | חודרני	2:חודרני
invoke	לעורר, לזמן	להסתמך על | לעורר	1:להסתמך על
landmark	אבן דרך	ציון דרך	1:ציון דרך
launder	לכבס	לכבס | להלבין	2:להלבין
linger	להתעכב, להשתהות	להתמהמה | להשתהות	1:להתמהמה
literate	יודע קרוא וכתוב; בקיא, בעל אוריינות	אוריין | משכיל	1:אוריין | 2:משכיל
litter	אשפה, פסולת; ללכלך בפסולת; לזרוע, לפזר	זבל | לזרוק זבל | המלטה	1:זבל | 2:לזרוק זבל | 3:המלטה
lodge	להתאכסן, אכסנייה	בקתה | להתאכסן	1:בקתה
loosely	באופן רפוי	באופן רופף | בערך	1:באופן רופף | 2:בערך
lumber	עצי בניין, קרשים, עצה מנוסרת	עץ בניין	1:עץ בניין
malformation	עיוות, פגם	מום | עיוות	1:מום
mischief	נזק, מעשה קונדס	שובבות | תעלול	1:שובבות | 2:תעלול
mobilize	לנייד, להניע	לגייס	1:לגייס
mold	לעצב; עובש	עובש | תבנית | לעצב	2:תבנית
negate	לשלול	לשלול | לבטל	2:לבטל
noted	ידוע, מפורסם	לציין | ידוע	1:לציין
nurture	לטפח, להזין, לחנך	לטפח | חינוך	2:חינוך
nutrient	חומר מזין	רכיב תזונתי	1:רכיב תזונתי
oblige	לחייב, להכריח	לחייב | לעשות טובה	2:לעשות טובה
offset	לקזז	לקזז | קיזוז	2:קיזוז
orient	להתמצא	לכוון | מזרח	1:לכוון | 2:מזרח
originate	התחיל, התהווה	לנבוע | ליזום	1:לנבוע | 2:ליזום
outweigh	עולה על, שוקל יותר מ-	לגבור על	1:לגבור על
particulars	פרטים, פרטי מידע	פרט	1:פרט
perceive	להבחין, לראות	לתפוס | להבחין	1:לתפוס
pivot	ציר, לסובב על ציר	ציר | לסובב	2:לסובב
portray	לתאר, לצייר	לתאר | לגלם	2:לגלם
pose	להציב, להוות; תנוחה	להוות | תנוחה | להתחזות	3:להתחזות
posture	יציבה, תנוחה	יציבה | עמדה	2:עמדה
potent	חזק, בעל כוח השפעה	חזק | עוצמתי	2:עוצמתי
poverty-stricken	מוכה עוני	עני | מרוד	1:עני | 2:מרוד
predictive	חיזויי, מנבא	מנבא | תחזיתי	2:תחזיתי
prescribe	לרשום מרשם	לרשום | להורות	1:לרשום | 2:להורות
presently	כעת	כרגע | בקרוב	1:כרגע | 2:בקרוב
probation	תקופת מבחן	תקופת ניסיון | מאסר על תנאי	1:תקופת ניסיון | 2:מאסר על תנאי
proclaim	להכריז בפומבי	להכריז	1:להכריז
prospective	צפוי, עתידי	פוטנציאלי | עתידי	1:פוטנציאלי
prosperity	צמיחה, שגשוג	שגשוג | שפע	2:שפע
provided that	בתנאי ש-	בתנאי ש	1:בתנאי ש
pursuit	מרדף	מרדף | רדיפה | שאיפה	2:רדיפה | 3:שאיפה
rationalize	להצדיק, להסביר	להצדיק | לייעל	2:לייעל
readily	ללא קושי	בקלות | ברצון	1:בקלות | 2:ברצון
recession	מיתון	מיתון | נסיגה	2:נסיגה
recipient	נמען	מקבל	1:מקבל
refuge	מקלט, מחסה	מקלט | מפלט	2:מפלט
reign	שלטון	שלטון | למלוך	2:למלוך
reluctant	מסויג, לא מעוניין	מהסס	1:מהסס
riddle	חידה	חידה | לנקב	2:לנקב
rigid	נוקשה, מחמיר	נוקשה | קשיח	2:קשיח
robust	איתן, חזק ובריא	חזק | איתן	1:חזק
sake	תועלת, עניין	למען	1:למען
sanctuary	מקדש; מקלט	מקלט | מקדש | שמורה	3:שמורה
saw	מסור	לראות | משור	1:לראות | 2:משור
score	לחתוך, לחרוץ; תוצאה; לזכות בניקוד	ניקוד | תוצאה | לקלוע	1:ניקוד | 3:לקלוע
sedative	סם הרגעה, משכך	תרופת הרגעה	1:תרופת הרגעה
seek, sought	לחפש, חיפש	לחפש | לבקש	2:לבקש
seizure	התקף	התקף | החרמה | תפיסה	2:החרמה | 3:תפיסה
skyrocket	להאמיר	לזנק	1:לזנק
span	להימתח, להקיף; מרווח	טווח | להשתרע	1:טווח | 2:להשתרע
spectacle	מחזה; ראווה	מחזה | משקפיים	2:משקפיים
splendid	נהדר, מהולל	נהדר | מפואר	2:מפואר
spring, sprang	קפיץ ; לקפוץ, קפץ	לקפוץ | לנבוע | לצוץ	2:לנבוע | 3:לצוץ
standardize	לתקנן	לתקנן | להאחיד	2:להאחיד
strain	מתח נפשי; להתאמץ, למתוח, לנקוע	מתח | לאמץ | זן	1:מתח | 2:לאמץ | 3:זן
stroke	ליטוף; מכה; שבץ/אירוע מוחי	שבץ | ללטף	1:שבץ | 2:ללטף
stumble	למעוד	למעוד | להיכשל	2:להיכשל
sturdy	חסון, מוצק	חזק | יציב | מוצק	1:חזק | 2:יציב
subsequent	עוקב	הבא | מאוחר יותר	1:הבא | 2:מאוחר יותר
surpass	להצטיין, לעלות על	לעלות על | לעקוף	2:לעקוף
swept away	נסחף	לסחוף	1:לסחוף
sympathetic	אוהד	אוהד | מבין	2:מבין
undertake	לקחת על עצמך	ליזום | להתחייב	1:ליזום | 2:להתחייב
unearth	לחשוף, לחפור	לחשוף | לגלות	2:לגלות
unfold	נפרש, נפתח, התגלה; לפתוח קיפול	להתפתח | לפרוש	1:להתפתח | 2:לפרוש
unparalleled	שאין כמותו, חסר תקדים	חסר תקדים | יוצא דופן	2:יוצא דופן
vain	לשווא; שחצן	יהיר | חסר תוחלת	1:יהיר | 2:חסר תוחלת
verse	בית בשיר; שירה	פסוק | בית | שירה	1:פסוק | 2:בית
vessel	כלי שיט	כלי | ספינה	1:כלי | 2:ספינה
virtue	מעלה	מידה טובה | סגולה	1:מידה טובה | 2:סגולה
vivid	חד, בהיר, ססגוני, חי, מוחשי	חי | עז | ברור	2:עז | 3:ברור
whereas	בעוד ש-	בעוד ש	1:בעוד ש
wholesale	סיטונאות	סיטונאי | גורף	1:סיטונאי | 2:גורף
wind	למתוח; רוח	רוח | ללפף | לפתל	2:ללפף | 3:לפתל
wound	מתוח, נמתח; פצע	פצע | לפצוע	2:לפצוע
yield	להיכנע, לוותר, לסגת; להניב, להפיק	להניב | להיכנע | תשואה	3:תשואה
acclaim	להריע, לשבח	שבח | לשבח	1:שבח
accomplices	שותף לדבר עבירה	שותף לפשע | שותף	1:שותף לפשע | 2:שותף
accomplished	מומחה, מעולה	מוכשר | מיומן	1:מוכשר | 2:מיומן
affluent	שופע, עשיר	אמיד | עשיר	1:אמיד
agitate	להסעיר, לזעזע, לעצבן	לעורר | להסעיר | לנער	1:לעורר | 3:לנער
agonize	להתייסר, לסבול ייסורים; להתלבט קשות	להתייסר | להתלבט	2:להתלבט
ancestry	מוצא	מוצא | שושלת	2:שושלת
appease	לפייס	לפייס | להרגיע	2:להרגיע
appraise	להעריך (שווי), לאמוד	להעריך | לשום	2:לשום
arable	מתאים לעיבוד	ראוי לעיבוד | חקלאי	1:ראוי לעיבוד | 2:חקלאי
articulate	להביע; רהוט	לבטא | רהוט | לנסח	1:לבטא | 3:לנסח
ascertain	לוודא	לוודא | לברר	2:לברר
attire	לבוש	לבוש | תלבושת	2:תלבושת
benefactors	נדבנים, תורמים	נדבן | תורם	1:נדבן | 2:תורם
bland	תפל	תפל | משעמם	2:משעמם
bleak	עגום	קודר | עגום	1:קודר
bolster	לתמוך	לחזק | לתמוך	1:לחזק
candid	כנה, ישיר	כן | גלוי לב	1:כן | 2:גלוי לב
canvass	לבדוק, לסקור	לגייס תמיכה	1:לגייס תמיכה
capitalize	לנצל	לנצל | לכתוב ברישיות	2:לכתוב ברישיות
caste	מעמד חברתי	קאסטה | מעמד	1:קאסטה | 2:מעמד
coincide	להקביל, לחפוף	לחפוף | להתאים	2:להתאים
commendably	באופן ראוי לשבח	ראוי לשבח	1:ראוי לשבח
commends	לציין לשבח	לשבח | להמליץ	1:לשבח | 2:להמליץ
commute	להמתיק (עונש); להחליף, להמיר; לנסוע בקביעות לעבודה	לנסוע | להמיר	1:לנסוע
compulsory	מהווה חובה	חובה	1:חובה
concerted	מתואם	משותף | מתואם	1:משותף
concise	תמציתי, תכליתי	תמציתי | קצר	2:קצר
condone	לסלוח, למחול	להשלים עם | לסלוח	1:להשלים עם
confer	להתייעץ, לדון; להעניק (תואר, כבוד)	להתייעץ | להעניק	2:להעניק
confide	לשתף, לספר (סוד)	לשתף בסוד	1:לשתף בסוד
confinement	מאסר, ריתוק	כליאה | מאסר	1:כליאה
conform	להתאים, להסתגל	להתאים | לציית	2:לציית
conjecture	סברה, לשער	השערה | לשער	1:השערה
constituent	מרכיב; בוחר	רכיב | בוחר	1:רכיב
convene	לכנס	להתכנס	1:להתכנס
croak	קרקור	לקרקר | למות	1:לקרקר | 2:למות
culminate	הגיע לשיא	להגיע לשיא	1:להגיע לשיא
dampen	לדכא	להרטיב | להחליש	1:להרטיב | 2:להחליש
dandy	גנדרני	גנדרן | מצוין	1:גנדרן | 2:מצוין
date	תמר; יציאה, פגישה, דייט; תאריך	תאריך | פגישה רומנטית | תמר	2:פגישה רומנטית
deem	לראות כ-, לחשוב ל-	להחשיב	1:להחשיב
deliberation	דיון	שיקול דעת | דיון	1:שיקול דעת
depreciate	לרדת בערך, לפחות מערכו; להפחית ערך, להמעיט בערך	לרדת בערך | להיפחת	2:להיפחת
desolate	הרוס; שומם, נטוש	שומם | עגום	2:עגום
die (dice)	קובייה (קוביות)	קוביה	1:קוביה
diminish	לצמצם	לפחות | להקטין	1:לפחות | 2:להקטין
disarmament	פירוק מנשק	פירוק נשק	1:פירוק נשק
discrepancy	סתירה, פער	פער | אי התאמה	2:אי התאמה
disdain	זלזול, בוז	בוז | לבוז	2:לבוז
dislocate	לפרוק, לנקוע	לפרק	1:לפרק
disparage	לזלזל, להמעיט בערך	לזלזל | להשמיץ	2:להשמיץ
disparagement	זלזול	זלזול | השמצה	2:השמצה
dissent	להתנגד, חילוקי דעות	התנגדות | לחלוק דעה	1:התנגדות | 2:לחלוק דעה
diverge	לסטות	להתפצל | לסטות	1:להתפצל
divinity	אלוהות	אלוהות | אל | תיאולוגיה	2:אל | 3:תיאולוגיה
draw (drew)	לשלוף, שלף	לצייר | למשוך | תיקו	1:לצייר | 2:למשוך | 3:תיקו
dwindle	הידלדל, התמעט	להצטמצם | לדעוך	1:להצטמצם | 2:לדעוך
elude	לברוח, להתחמק	לחמוק	1:לחמוק
embellish	לקשט, לייפות; להוסיף פרטים מומצאים	לקשט | לייפות | להפריז	3:להפריז
embitter	גורם התמרמרות	למרר	1:למרר
eminent	בולט, בכיר	נודע	1:נודע
enclose	לצרף	לצרף | להקיף	2:להקיף
enclosing	לסגור, להקיף	לצרף | להקיף	1:לצרף
enclosure	סגירה, כיתור, שטח מגודר	מכלאה | נספח	1:מכלאה | 2:נספח
ensue	להתרחש בעקבות, לבוא כתוצאה, להתחולל	לנבוע	1:לנבוע
epitomize	לייצג, לאפיין	לגלם | לסמל	1:לגלם | 2:לסמל
evoke	לעורר, להעלות	לעורר | להזכיר	2:להזכיר
expedite	לזרז	לזרז | להאיץ	2:להאיץ
expend	לגמור, לבזבז, לפזר	להוציא | לבזבז	1:להוציא
exquisite	מצוין; חד, מעודן, אנין	נפלא | מעודן	1:נפלא
fabricate	לבדות	לבדות | לייצר	2:לייצר
facilitate	לסייע, לעזור, להקל	להקל | לאפשר	2:לאפשר
fad	אופנה חולפת	אופנה חולפת | טרנד	2:טרנד
flagrant	בוטה	בוטה | משווע | גלוי	2:משווע | 3:גלוי
flimsy	רעוע, דל, שביר; קלוש, בלתי משכנע (תירוץ/ראיה)	רופף | קלוש	1:רופף
fluctuation	חוסר יציבות	תנודה	1:תנודה
foil	לסכל	לסכל | רדיד	2:רדיד
foremost	ראשון במעלה, בעיקר	המוביל	1:המוביל
formidable	אדיר, מאיים	מרשים | מפחיד	1:מרשים | 2:מפחיד
forsake	לזנוח	לנטוש | לזנוח	1:לנטוש
fraternal	אחוותי, של אחים	אחאי	1:אחאי
fringes	שוליים	שוליים | פוני	2:פוני
frivolous	קל דעת, לא רציני; חסר חשיבות	שטותי | קליל דעת	1:שטותי | 2:קליל דעת
fume	אדים, עשן	לזעום | אד	1:לזעום | 2:אד
furnish	לרהט	לרהט | לספק	2:לספק
futile	חסר תוחלת, נטול סיכוי	חסר תועלת | עקר	1:חסר תועלת | 2:עקר
gauge	למדוד, להעריך, מידה	מד | להעריך	1:מד
glaze	זיגוג	ציפוי | לצפות	1:ציפוי | 2:לצפות
granted (that)	בהנחה ש-, נתון ש-	אמנם	1:אמנם
grievance	טרוניה, התמרמרות	תלונה	1:תלונה
hail	לשבח; ברד	ברד | להלל	2:להלל
harness	לרתום	לרתום | רתמה	2:רתמה
heed	לשים לב	לשים לב | תשומת לב	2:תשומת לב
hegemony	הגמוניה	הגמוניה | שליטה	2:שליטה
hinder	לעכב	לעכב | להפריע	2:להפריע
impart	להעביר, להקנות	להעביר | להעניק	2:להעניק
impartially	באופן הוגן, ללא אפליה	בהגינות | באובייקטיביות	1:בהגינות | 2:באובייקטיביות
implicate	לסבך, לערב	להפליל | לערב	1:להפליל
inadvertently	בלי משים, בלי כוונה	בשוגג | בטעות	1:בשוגג | 2:בטעות
infancy	ינקות	ינקות | שלב ראשוני	2:שלב ראשוני
infraction	עבירה	עבירה | הפרה	2:הפרה
inhabit	לגור ב-, לשכון ב-, לאכלס	לגור | להתגורר	1:לגור | 2:להתגורר
instill	להחדיר, להשריש	להנחיל | להקנות	1:להנחיל | 2:להקנות
insurmountable	שאין להתגבר עליו	בלתי עביר	1:בלתי עביר
insurrection	התקוממות	מרד | התקוממות	1:מרד
interjection	הערה, הפרעה לשיחה	מילת קריאה	1:מילת קריאה
interminable	נצחי	אינסופי | בלתי נגמר	1:אינסופי | 2:בלתי נגמר
invertebrate	חסר-חוליות	חסר חוליות	1:חסר חוליות
jagged	משונן	משונן | מחוספס	2:מחוספס
keep	לשמור; חלק מהמצודה	לשמור | להמשיך	2:להמשיך
keystone	אבן מפתח	אבן פינה | אבן מפתח	1:אבן פינה
lamentable	מצער, מעציב	מצער | עגום	2:עגום
lapse	מעידה, פליטת פה; פרק זמן, פקיעה, סיום	מעידה | לפקוע	2:לפקוע
leisurely	נינוח, רגוע	רגוע | בנחת	2:בנחת
leniency	ותרנות, מתינות, הקלה בעונש	סלחנות | ותרנות	1:סלחנות
lineage	ייחוס, שושלת	שושלת | מוצא	2:מוצא
lucrative	ריווחי	רווחי | משתלם	1:רווחי | 2:משתלם
markedly	בצורה ניכרת	משמעותית | באופן ניכר	1:משמעותית | 2:באופן ניכר
marsupial	חיית כיס	יונק כיס	1:יונק כיס
meticulous	קפדני	קפדני | דקדקן	2:דקדקן
misconception	דעה מוטעית	תפיסה מוטעית | אי הבנה	1:תפיסה מוטעית | 2:אי הבנה
mitigate	למתן, להפחית	לצמצם | להקל	1:לצמצם | 2:להקל
momentous	הרה גורל	גורלי | מכריע	1:גורלי | 2:מכריע
morose	קודר, עגמומי	קודר | זעוף | עגום	2:זעוף | 3:עגום
myriad	רב, הרבה	אינספור	1:אינספור
nestle	לשכון בנוחות, להיות מוקם בחיק; להתכרבל	להצטנף	1:להצטנף
obedience	ציות	ציות | צייתנות	2:צייתנות
obscure	סתום, לא ידוע; לטשטש	מעורפל | להסתיר	1:מעורפל | 2:להסתיר
ode	שיר הלל	אודה | שיר שבח	1:אודה | 2:שיר שבח
officiate	לכהן, לערוך	לכהן | לערוך טקס	2:לערוך טקס
omniscient	יודע כול; מספר כל-יודע	כל-יודע	1:כל-יודע
outspoken	מדבר גלויות, ישיר	ישיר | בוטה	2:בוטה
overhaul	שיפוץ, אוברול	לשפץ | שיפוץ | רפורמה	1:לשפץ | 3:רפורמה
paramount	בעל חשיבות עליונה	עליון | חשוב ביותר	1:עליון | 2:חשוב ביותר
perch	ענף; נח, ישב על ענף	לשבת | מוט	1:לשבת | 2:מוט
pervasive	מתפשט, מחלחל	נפוץ | רווח	1:נפוץ | 2:רווח
plight	צרה, סכנה	מצוקה | מצב קשה	1:מצוקה | 2:מצב קשה
poacher	מסיג גבול, צייד לא מורשה	צייד לא-חוקי	1:צייד לא-חוקי
populous	מאוכלס בצפיפות	רב אוכלוסין	1:רב אוכלוסין
