מילה	סיווג	הסיבה	מה מכסה אותה	יחידה בישן	פירוש	סיווג מכני	חפיפה %	הקרוב בחדש
אַשְׁפָּרָה	אולי	מונח טכני צר (תעשיית טקסטיל/בטון), ספק אם מתאים למבחן כללי, אך אינו מכוסה כלל		6	עיבוד מסיים המחזק את איכות הבד; החזקת בטון בלחות לחיזוקו	אולי	0	
בָּא כֹּחַ	אולי	"עמיל" הוא סוכן מכס ספציפי ולא זהה ל"בא כוח" הכללי; אך המונח נפוץ למדי בחדשות משפטיות		6	מורשה, נציג	אולי	50	עמיל
גָּזַר	אולי	חלק מהמשמעות ("פסק וקבע") חופף לחרץ, אך "הסיק" אינו מכוסה; גם המילה גזר עצמה שכיחה מאוד ("גזר דין")		6	פסק, קבע פסק דין; הסיק	אולי	40	חרץ
הִגִיר	אולי	קרוב מאוד ל"יצק" (שפך נוזל), אך יתכן ניואנס של זרימה (דמעות) מול יציקה/מתכת		6	שפך, הזיל	אולי	50	יצק
חֲמַרְמֹרֶת	אולי	מילה שכיחה בעגה יומיומית (המילה הרגילה ל"האנג-אובר"), ייתכן שמוכרת לרוב הנבחנים		6	האנג-אובר	אולי	0	
יוֹשֵׁב עַל הַגָּדֵר	אולי	"קפץ ידו" עוסק בקמצנות ולא בהססנות/ניטרליות; אך הביטוי (קלאק מאנגלית) נפוץ מאוד בתקשורת		6	נמנע מלנקוט עמדה, נמנע מלצדד	אולי	40	קפץ ידו
מָט	אולי	ייתכן שהמילה כבר מיוצגת דרך הביטוי "מט לנפל" הקיים בחדש, אך כמילה עצמאית יתכן שהיא נבדלת		6	נע בחוסר יציבות, התנדנד, נטה ליפול	אולי	17	צדד
נִיבוֹן	אולי	תבנית גזירה שקופה (כמו מילון), עלולה להיות קלה לנחש למי שמכיר את המילה "ניב"		6	אוסף ניבים ופתגמים, מילון ניבים	שווה	20	מלתחה
נֶקְטָר	אולי	מותג מיץ מוכר מאוד, ספק אם שכיח מדי, אך יש למילה גם משמעויות נוספות (צוף פרחים, מזון האלים) שאינן טריוויאליות		6	צוף מתוק שפרחים מפרישים כדי למשוך מאביקים; מזון האלים במיתולוגיה היוונית; מיץ פירות סמיך	שווה	8	הניב
פּוֹלִיגַמְיָה	אולי	מילה בינלאומית שקופה למדי ("פולי" מוסבר בהגדרה עצמה כ"הרבה"), ייתכן שקלה לנחש		6	נישואי גבר למספר נשים (פולי - הרבה)	אולי	17	גרגרן
פְּרַקְלִיט	אולי	"שיג ושיח" אינו קשור במשמעות (עורך דין מול קשר/מגע), אך המילה שכיחה למדי בזכות "פרקליטות המדינה" בחדשות		6	עורך דין, טוען	אולי	33	שיג ושיח
קִרְקֵעַ	אולי	שקופה יחסית מ"קרקע" (אדמה), קל לנחש "ריתק לקרקע", אך המובן "ריתק לבית" (עונש) פחות מובן מאליו		6	אסר להמריא, ריתק לקרקע; ריתק לבית	שווה	0	
אִבֵּק	אולי	נגזרת שקופה יחסית מ"אבק", אך יש לה שתי משמעויות מנוגדות (ניקוי אבק מול פיזור אבקה) שקשה לנחש בלי הקשר		7	ניקה מאבק, הוציא אבק; פיזר אבקה על משהו	אולי	17	דלה
אִשְׁרוּר	אולי	מונח נפוץ בחדשות (אשרור הסכמים), אך משמעותו הספציפית (אישור רשמי-סופי) שונה מ"התיר" (שחרור/היתר)		7	אישור סופי	אולי	50	התיר
בְּדוּתָה	אולי	קרוב מאוד ל"כחש" (שקר), אך בדותה מדגישה בדייה/המצאה ולא בהכרח כזב מכוון		7	שקר, דבר בדוי	אולי	50	כחש
בִּיגַמְיָה	אולי	מילה בינלאומית שקופה למדי ("בי"=שתיים), עלולה להיות קלה לנחש		7	נשואי גבר אחד לשתי נשים בו זמנית, נישואים כפולים	אולי	11	חמק
זָב חֹטֶם	אולי	קרוב מאוד ל"טירון" (חסר ניסיון), אך זב חוטם הוא כינוי גנאי מזלזל בעוד טירון ניטרלי		7	כינוי גנאי לצעיר חסר ניסיון; אדם פחות ערך	אולי	29	טירון
חֲבַרְבָּר	אולי	נגזרת קרובה ל"חברבורה" שכבר בחדש, יתכן ושקופה למי שמכיר אותה		7	בעל חברבורות, מנומר	אולי	33	אנין
יַנוּקָא	אולי	קרוב מאוד ל"עולל", אך ינוקא עשוי לחול גם על ילד קטן מעט יותר מבוגר ולא רק תינוק יונק		7	תינוק	לא שווה	100	עולל
מַאְפֵּלְיָה	אולי	קרוב מאוד ל"צלמות" (חושך כבד), אך צלמות נושאת קונוטציה מקראית של "צל מוות" שאינה בהכרח קיימת במאפליה		7	אפלה גדולה, חשכה כבדה, חושך מוחלט	אולי	33	צלמות
מֵלִיץ	אולי	המשמעות "מליץ בזכותו" מכוסה למעשה ע"י "מליץ ישר" שכבר בחדש (וכולל את המילה מליץ עצמה), אך המשמעות השנייה "מתורגמן" אינה מכוסה כלל		7	מי שממליץ על מישהו ומדבר בזכותו; מתורגמן	אולי	25	מליץ ישר
מַרְזֵחַ	אולי	קרוב ל"כרה" (סעודה/משתה), אך מרזח קשור ספציפית לשתייה/הוללות ("בית מרזח"=פאב) בעוד כרה כללי יותר		7	משתה (בית ___ - פאב)	שווה	25	כרה
מִשְׂגָּב	אולי	קרוב מאוד ל"מפלט" (מחסה), אך משגב מדגיש מקום גבוה/מבצר שמפלט אינו כולל בהכרח		7	מקום גבוה שמשמש כמחסה, מצודה	שווה	20	מפלט
נְאָצָה	אולי	ייתכן שנאץ (במשפחה) מכסה כנגזרת שקופה, אך תוכחה שונה במהות (נזיפה מוסרית מול גידוף/כפירה) ולא ברור שנאץ אכן מילת ראש בחדש		7	גידוף, דברי בלע	אולי	33	תוכחה
נַכְלוּלִי	אולי	ייתכן כיסוי חלקי דרך שרלטן/נכלים, אך שרלטן מתמקד בהתחזות למומחה ולא בעורמה/רמאות כללית		7	רמאי, נוכל, מעורפל בכוונותיו	אולי	25	שרלטן
רָגַן	אולי	חפיפה גבוהה (100%) ב"התלונן", אך התרעם מוסיף רכיב כעס שאינו בהכרח חלק מליבת המשמעות של רגן		7	התלונן	אולי	100	התרעם
רַפְרֶפֶת	אולי	ספק בין היותה מנה קולינרית מוכרת יחסית לבין ערך אוצר-מילים אמיתי; התאמה מכנית שגויה דרך "סוג"		7	סוג של קינוח אוורירי, פודינג	אולי	25	כיוצא בזה
רָצַץ	אולי	חפיפה משמעותית עם נפץ (שבר/ריסק), אך ייתכן ניואנס שונה (מעיכה/דיכוי מול התפוצצות פתאומית)		7	שבר, ריסק, ניפץ	אולי	67	נפץ
שִׁהוּי	אולי	מעצור חופף ב"עיכוב" אך מוסיף דגש על מכשול/ריסון עצמי שאינו בהכרח ליבת המשמעות המשפטית של שיהוי		7	עיכוב, איחור	אולי	50	מעצור
תִּכְתּוֹבֶת	אולי	מילה שכיחה יחסית בעברית עיתונאית-משרדית (התכתבות), ספק אם קשה/נדירה מספיק למבחן		7	חילופי הודעות כתובות בין אנשים או מוסדות; אוסף ההודעות שהוחלפו ביניהם	שווה	11	ארחה
אַגַּב אוֹרְחָא	אולי	המשמעות ("דרך אגב") שכיחה ומוכרת לכל, אך הניסוח הארמי הייחודי עצמו פחות מוכר; ספק אם שווה כפריט נפרד		8	דרך אגב	אולי	50	הפטיר
אַחֲרִית	אולי	אפילוג (הקרוב) הוא מונח ספרותי ספציפי, בעוד אחרית היא מילה מופשטת (גורל/סוף); "אחרית דבר" במשפחה מכסה רק את הצירוף הספציפי		8	קץ, סוף, סיום	לא שווה	67	אפילוג
הֵחִישׁ (אֶת) צְעָדָיו / פְּעָמָיו	אולי	האיץ קרוב מאוד במשמעות, אך זהו ניב ספציפי (צעדיו/פעמיו) שראוי להיבחן כפריט נפרד לפי כלל הניבים		8	הגביר את קצב הליכתו, מיהר	אולי	25	האיץ
הֶחְרִישׁ	אולי	חרישי (במשפחה) קרוב בשורש ובמשמעות (שקט), אך החריש הוא פועל דו-משמעי (שתק/השתיק) שאינו נגזר מאליו מהתואר		8	שתק, נאלם, דמם; השתיק, גרם לדממה	אולי	17	הרתיע
הִרְכִּין	אולי	רכן (במשפחה) כמעט נרדף; ההבדל בעיקר תחבירי (פועל עומד מול פועל יוצא) ולא סמנטי מובהק		8	כפף, הטה כלפי מטה	אולי	50	נגר
מְבֻדָּר	אולי	מילה מדוברת-סלנגית נפוצה יחסית ("מבודר"=מבולבל/מפוזר); ספק אם מתאימה לרמת מבחן פסיכומטרי		8	מפוזר	שווה	0	
קֶרֶן יַעַר	אולי	שם כלי נגינה ספציפי; ספק אם זהו אוצר-מילים ספרותי-מופשט המתאים למבחן או ידע כללי/טריוויה		8	כלי נשיפה ממתכת	אולי	33	מגל
אוֹטוֹרִיטָה	אולי	מילה שאולה שכיחה יחסית; קרובה מושגית לבקיאות (הידע המוביל לסמכות) אך אינה זהה (הסמכות עצמה)		9	סמכות הנובעת מידע בתחום מסוים	שווה	20	בקיאות
בְּחוּבּוֹ	אולי	משמעות בסיסית ("בתוכו") מוכרת, אך צורת המילה הארכאית (חוב=חיק) עצמה עשויה להיות בעלת ערך; ספק אם שווה כפריט נפרד		9	בו, בתוכו	אולי	50	חמק
הֶעֱרָה	אולי	חלק מהמשמעות ("שפך") חופף ל-יצק, אך המובן "גילה/חשף/עירטל" אינו מכוסה כלל		9	גילה, חשף, עירטל; יצק, שפך, רוקן כלי	אולי	29	יצק
מוּפְשָט	אולי	ספק אם שכיחה מדי (הזוג מוחשי/מופשט נלמד כבר בבי"ס), וגם חפיפה חלקית עם "נטול" (נטול חומריות)		9	ערטילאי, נטול גשמיות (להיפך: מוחשי)	אולי	20	נטול
מַעֲקָשׁ	אולי	"מכשול" מכוסה חלקית ע"י משוכה, אך המשמעות הנוספת (מפותל, לא ישר) לא מכוסה		9	מכשול, סיבוך; מפותל, שאינו מישורי	אולי	20	משוכה
מִתְוֶוה	אולי	המילה שכיחה יחסית בעברית עיתונאית (מתווה הסכם/גז) - ספק אם קשה מספיק; גם "קנה מדה" שונה במשמעות		9	שרטוט או רישום בקווים כלליים, סקיצה	אולי	20	קנה מדה
נִקְהַל	אולי	ניתן לשער מהשורש הנפוץ קהל/קהילה - ספק אם אטומה מספיק, אין מועמד אמיתי		9	נקבץ, נאסף	אולי	0	
צָבָא	אולי	חפיפה חלקית - "נקוה" מתייחס בעיקר לנוזלים שהצטברו, "צבא" (התאסף) רחב יותר		9	התאסף, התקהל	אולי	50	נקוה
קוֹלֶגָה	אולי	ספק אם שכיחה מדי (מונח תעסוקתי נפוץ, לא בטוח שכל תלמיד תיכון מכיר)		9	חבר למקצוע, עמית	שווה	0	
קָם	אולי	"הקיץ" מכסה רק את משמעות ההתעוררות, לא את המשמעות המרכזית "אויב" (קם עלינו)		9	אויב; נבנה, יוסד; התעורר, פקח עינים	אולי	17	הקיץ
רָצַע	אולי	חפיפה גדולה במשמעות "עשה חור" מול קדח, אך יש ניואנס בכלי (מרצע-ניקוב מול מקדח-קידוח)		9	עשה חור (מַרְצֵע - מכשיר לניקוב חורים)	אולי	33	קדח
שְׁרִירוּת	אולי	"הסב" לא רלוונטי; חשד לחפיפה עם "שרירות לב" שכבר במשפחה בחדש, לא ניתן לוודא בלי הגדרתו		9	נהייה אחר רצון אישי בלי התחשבות בכללים או באחרים	אולי	14	הסב
שְׁרִירוּתִי	אולי	דומה - עלולה להיות נגזרת של "שרירות לב" שכבר בחדש; גם "חפוז" אינו מדויק כמועמד		9	נעשה מתוך גחמה, בלי אמת מידה הוגנת או נימוק סביר	אולי	13	חפוז
אִיּוּשׁ	אולי	יתכן מונח מנהלי/ביורוקרטי צר (איוש משרות/תקנים); חפיפה עם "הקהיל" חלקית בלבד		10	הצבת אנשים במקום מסוים על מנת שיבצעו מטלה מסוימת	אולי	25	הקהיל
אָקוּטִי	אולי	שכיחה יחסית בעברית עיתונאית/רפואית (מצב אקוטי) - ספק אם אטומה מספיק		10	חריף, חמוּר, דחוף, קריטי	שווה	25	עיר
גַשְׁמִי	אולי	חפיפה מושגית חלקית עם "קרם עור וגידים" (תהליך של התממשות, לא תואר מצב); גם שכיחה למדי (ניגוד גשמי/רוחני)		10	שניתן לתפיסה בעזרת החושים, חומרי, מוחשי, ממשי, ארצי	אולי	13	קרם עור וגידים
הֵחִיל	אולי	מונח משפטי-מנהלי (הפעיל חוק/תקנה) - ספק אם צר מדי למבחן כללי		10	העניק תוקף לחוק או תקנה	אולי	25	הרעיף
הִמְצִיא	אולי	המשמעות הרווחת (יצר דבר חדש) שכיחה מדי; המשמעות הארכאית (מסר, הגיש) חופפת חלקית בלבד ל"הלשין"		10	יצר או הגה דבר חדש; מסר או הגיש דבר לידי אחר	אולי	29	הלשין
הִתְנוֹדֵד	אולי	חפיפה משמעותית עם "הדס" (נענוע מצד לצד), אך הדס ספציפי להליכה ואילו התנודד כללי יותר (גם עמידה/תזוזה)		10	נע מצד לצד בחוסר יציבות	שווה	40	הדס
חָמָס	אולי	חפיפה ממשית עם "עשק" (שניהם כוללים "גזל" בהגדרה), אך חמס כללי יותר (אלימות/עוול)		10	שוד, גניבה, גזל	שווה	33	עשק
כִּתֵּר	אולי	הגדרות דומות מילולית (שתיהן "הקיף"), אך אפף להקשר רגשי/מופשט וכיתר בעיקר להקשר פיזי/צבאי		10	הקיף מכל הצדדים	שווה	33	אפף
מַבְכִּירָה	אולי	קרבה למשפחת "בכר" (בכור) שכבר בחדש - יתכן נגזרת מובנת, אך גם מונח חקלאי/מקראי צר (ביכור נקבה)		10	אישה או בהמה המביאה לעולם את צאצאה הראשון (הבכור)	אולי	14	געה
מַדְוֶה	אולי	חפיפה חלקית ("ייסורים" משותף), אך מדווה מדגיש מחלה/חולי גופני ומכאוב מדגיש כאב/צער		10	מחלה, חולי, כאב, ייסורים	אולי	25	מכאוב
מַהֲדִיר	אולי	מונח ספרותי-אקדמי צר יחסית (עורך מהדורות טקסט) - ספק אם מקצועי מדי למבחן כללי		10	מי שמכין כתב יד או ספר עתיק לדפוס, משווה נוסחים ומוסיף הערות	אולי	10	גלב
מִלְטָשָׁה	אולי	יתכן נגזרת שקופה מ"לטש" (בתבנית מ___ה כמו מספרה), אך גם מונח מקצועי צר (בית מלאכה לליטוש)		10	בית מלאכה לליטוש שיש, אבני חן וכו'	אולי	14	בקתה
מַתְמִיהַּ	אולי	משמעות אחת (מעורר פליאה) קרובה ל"השתאות", אך המשמעות הנוספת (מוזר, תמוה) לא מכוסה		10	מעורר פליאה, מדהים; מוזר, תמוה	אולי	20	השתאות
פָּג	אולי	חפיפה מושגית אמיתית (איבוד כוח/תוקף) עם "נטל עקצו", אך זה ספציפי ל"עוקץ" ופג כללי יותר		10	אבד את כוחו או את תוקפו, חלף והתאדה	אולי	40	נטל עקצו
פֶּרְמָנֶנְטִי	אולי	חולק בתוקף על הסיווג המכני - "ארעי" (זמני) הוא ההפך ממש מ"פרמננטי" (קבוע); אך המילה שכיחה למדי כלוואי-מילה		10	קבוע	לא שווה	100	ארעי
שִׁעוּר	אולי	חפיפה חלקית עם "זרת" (יחידת מידה קטנה וספציפית), שיעור רחב יותר (מידה כללית); גם חשש לבלבול עם המשמעות הנפוצה "שיעור לימוד"		10	גודל, מידה	אולי	50	זרת
הִכְחִישׁ	לא שווה	שכיח מאוד בשימוש יומיומי ובחדשות ("הכחיש את הטענות"), מוכר לכל תלמיד תיכון.	שכיחות גבוהה מדי — מונח חדשותי נפוץ	1	טען שמשהו אינו נכון, שלל	אולי	20	אמנם
הִפְלִיא בּוֹ אֶת מַכּוֹתָיו	לא שווה	וריאנט כמעט זהה ("הפליא את מכותיו") מופיע ממש בעמודת המשפחה בחדש.	הפליא את מכותיו	1	הִכָּה אותו	אולי	50	פקד
נוֹטֵר טִינָה	לא שווה	"נוטר" בחדש מוגדר במפורש כ"שומר כעס בליבו" — אותה משמעות בדיוק כבר קיימת.	נוטר	1	לא סולח, שומר כעס	לא שווה	67	נוטר
גָּדַש אֶת הַסְּאָה	לא שווה	וריאנט כמעט זהה ("הגדיש את הסאה") מופיע ממש בעמודת המשפחה בחדש.	הגדיש את הסאה	2	הפריז והרחיק לכת עד שעבר את גבול הנסבל	אולי	14	גדש
הִטְלִיא	לא שווה	נגזרת שקופה של "טלאי" הקיים בחדש — מי שמכיר "טלאי" מבין את הפועל "לתקן בטלאי".	טלאי	2	תיקן קרע בבגד על ידי טלאי	אולי	20	אחה
מוּמָר	לא שווה	נגזרת שמנית שקופה של "המיר" הקיים, המוגדר בחדש עם אותה דוגמה בדיוק ("המיר את דתו").	המיר	2	מי שהמיר את דתו	אולי	50	המיר
מְטֻלָּא	לא שווה	נגזרת שקופה של "טלאי" הקיים בחדש — מי שמכיר "טלאי" מבין תואר "מתוקן בטלאי".	טלאי	2	מתוקן בטלאי, שניתן עליו טלאי במקום הקרע	אולי	14	שהה
קָפַץ אֶת יָדוֹ	לא שווה	וריאנט כמעט זהה ("קפץ ידו") מופיע ממש בעמודת המשפחה בחדש.	קפץ ידו	2	סרב לתת	אולי	0	
שָׁלַט בְּרוּחוֹ	לא שווה	"משל ברוחו" הקרוב הוא אותו ניב ממש באותה משמעות בדיוק ("ריסן את עצמו"), רק עם פועל נרדף (משל/שלט).	משל ברוחו	2	ריסן את עצמו, התאפק	אולי	67	משל ברוחו
תּוֹחֶלֶת חַיִים	לא שווה	ביטוי שכיח ומוכר לכל ("תוחלת חיים" בהקשר בריאותי-ביטוחי), ו"תוחלת" עצמה כבר מופיעה בחדש.	תוחלת / שכיחות גבוהה מדי	2	משך הזמן שאדם (או מכשיר או ארגון) צפויים להתקיים	אולי	14	רתק
אוֹבְּיֶקְטִיבִי	לא שווה	מונח יסודי הנלמד בגיל צעיר (אובייקטיבי מול סובייקטיבי), מוכר לכל תלמיד תיכון.	שכיחות גבוהה מדי	3	ענייני, שאינו מושפע מדעות או העדפות אישיות	שווה	33	חלין
הוֹגִיעַ	לא שווה	זהה ל"יגע" הקיים (עייף) בתוספת בניין הפעיל שקוף (עייף מישהו)	יגע (+ הפעיל שקוף)	3	עייף	לא שווה	100	יגע
הִזְלִיף	לא שווה	זהה במשמעות ל"הזה" הקיים (התזת טיפות נוזל); גם "זלף" כבר במשפחת החדש	הזה	3	התיז נוזל, טפטף	לא שווה	67	הזה
הִתְקַנֵּא	לא שווה	שכיחה מדי - "קנא/מקנא" מילה בסיסית שכל תלמיד מכיר	שכיחות יתר	3	התחיל לקנא	שווה	0	
כִּיכָּר	לא שווה	המשמעויות העיקריות (כיכר-רחבה, כיכר-לחם) שכיחות מדי ומוכרות לכל תלמיד; רק המשמעות הארכאית (יחידת משקל) לא שכיחה אך משנית וטריוויאלית	שכיחות יתר	3	רחבה ציבורית או מעגל תנועה; לחם עגול שלם; יחידת משקל עתיקה; מישור נרחב (___ הירדן)	אולי	14	אונקיה
כְּלִימָה	לא שווה	"חרפה" כבר בחדש עם משמעות זהה (בושה/קלון); כלימה כמעט נרדפת מוחלטת	חרפה	3	בושה	לא שווה	100	חרפה
מַחֲלוֹקֶת	לא שווה	שכיחה מדי - "מחלוקת" מילה בסיסית שגורה בשימוש יומיומי	שכיחות יתר	3	מריבה, חילוקי דעות	אולי	33	פסח על שתי הסעפים
מַטְפֶּה	לא שווה	אובייקט יומיומי ומוכר (מטף כיבוי אש) - שכיח מדי ולא מונח מבחן טיפוסי	שכיחות יתר / מונח קונקרטי מוכר	3	מיכל לכיבוי אש, מַטָף	אולי	25	חסין
מְיוֹעָר	לא שווה	נגזרת שקופה מ"יער" (מילה בסיסית) בתבנית שגורה (מ+שם עצם=מכוסה ב-); "מנמר" התאמה שגויה	יער (נגזרת שקופה)	3	מכוסה יער	אולי	50	מנמר
מַקְצֵרָה	לא שווה	מונח טכני-חקלאי צר (מכונת קצירה) - טרמינולוגיה מקצועית ולא מילת מבחן כללית	מונח מקצועי צר	3	מכונה חקלאית המשמשת לקצירת יבולי דגנים	אולי	17	אמת מים
מַתְבֵּן	לא שווה	נגזרת שקופה מ"תבן" (מקום אחסון תבן); גם "אסם" כבר מכסה מושג קרוב מאוד (מחסן תבואה)	אסם / תבן (נגזרת שקופה)	3	מחסן תבן, אסם	אולי	33	אסם
נִלְאֶה	לא שווה	כמעט זהה במשמעות ל"יגע" הקיים (עייף, תשוש) - נרדף מובהק	יגע	3	עייף, תשוש	אולי	50	יגע
נְמוּך רוּחַ	לא שווה	זהה במשמעות ל"ענו" הקיים (צנוע, עניו) - נרדף מובהק	ענו	3	צנוע, עניו	שווה	50	ענו
נָצַר אֶת לְשׁוֹנוֹ / פִּיו	לא שווה	הניב הזהה כמעט מילה במילה ("נצר לשונו") כבר קיים בחדש (במשפחה); וריאנט של אותו ביטוי	נצר לשונו (כבר בחדש)	3	השתתק, לא הוציא הגה	אולי	33	הגה
עִישֵּׂב	לא שווה	נגזרת שקופה ומיידית מ"עשבים שוטים" הקיים בחדש (עישב = הסיר עשבים שוטים)	עשבים שוטים	3	עקר מן האדמה צמחי בר מזיקים שגדלו בין הגידולים	אולי	29	עשבים שוטים
עֲקַלְקָל	לא שווה	זהה במשמעות ובשורש ל"עקלתון" הקיים (מפותל, לא ישר) - נרדף מובהק מאותו שורש	עקלתון	3	שאינו ישר, מפותל	לא שווה	67	עקלתון
קוֹצֶר רוּחַ	לא שווה	נגזרת שקופה מהניב "קצרה רוחו" הקיים בחדש - קוצר רוח הוא שם העצם של אותו ביטוי בדיוק	קצרה רוחו	3	חוסר (קצר ב) סבלנות; (גם: קצר רוח)	אולי	40	עד מהרה
קִנְטֵר	לא שווה	אותו שורש ואותה משמעות בדיוק כמו "הקניט" הקיים (הרגיז בעקיצות) - שתי בניינים לאותו פועל	הקניט	3	לגלג, הרגיז	אולי	50	הקניט
תִּיעוּב	לא שווה	אותו שורש ומשמעות קרובה מאוד ל"נתעב" הקיים - שם התחושה לעומת שם התואר של אותו שורש, קשר שקוף	נתעב	3	סלידה, מאיסה	שווה	50	נתעב
תִּפְרַחַת	לא שווה	מונח בוטני-מקצועי צר (תפרחת=אשכול פרחים) - טרמינולוגיה מדעית ספציפית, לא מילת מבחן כללית	מונח מקצועי צר	3	מספר פרחים המחוברים יחדיו לאותו הגבעול, אשכול	אולי	14	שכם
אֵיכָה?	לא שווה	וריאנט ארכאי-שירי של המילה הבסיסית "איך" (מילת שאלה יומיומית) - אינה מילת מבחן אמיתית	איך (וריאנט ארכאי)	4	איך? הכיצד?	שווה	0	
הַדְלִיף	לא שווה	הרחבה מטאפורית שקופה מ"דלף" (דליפת מים) הקיים במשפחה - אותה מטאפורה כמו באנגלית "leak", מיידית לניחוש	דלף (הרחבה מטאפורית שקופה)	4	גילה למישהו דבר שהיה אמור להישאר חסוי	אולי	17	תושיה
הִקָּווּת	לא שווה	אותו שורש ומשמעות זהה ל"נקווה" הקיים (התכנסות מים במקום) - שם הפעולה של אותו תיאור בדיוק	נקווה	4	היאספות של מים במקום מסוים (מקווה מים)	אולי	50	נקוה
הִסְבִּיר פָּנִים	לא שווה	הניב הזהה כמעט לחלוטין ("הסביר לו פנים") כבר קיים בחדש (במשפחה) - וריאנט תחבירי; "זעוף" אף הפוך במשמעות	הסביר לו פנים (וריאנט)	4	האיר פנים, התנהג בצורה נחמדה	אולי	20	זעוף
הִקְשָה אֶת לִיבּוֹ / עָרְפּוֹ	לא שווה	הניב זהה כמעט לחלוטין לניב "הקשה ערפו" הקיים בחדש (אותה הגדרה כמעט מילה במילה) - וריאנט	הקשה ערפו (וריאנט זהה)	4	התעקש, לא וויתר, המשיך לסרב	אולי	25	הקשה ערפו
חִיבּוּץ	לא שווה	נגזרת שקופה של אותו מושג כמו "מחבצה" הקיימת (הכלי) - חיבוץ הוא הפעולה שנעשית בו; קשר ישיר ומיידי	מחבצה	4	תהליך הכנת חמאה מחלב או משמנת על ידי בחישה וטלטול	אולי	13	מחבצה
חֶנְוָנִי	לא שווה	שכיחה יחסית - "חנווני" נגזר ישירות מ"חנות" (מילה בסיסית) ומוכר לרוב הציבור; "אנין" התאמה שגויה בכל מקרה	שכיחות יתר	4	בעל מכולת	שווה	50	אנין
טַרְחָן	לא שווה	נגזרת שקופה מ"טרח" (השורש, במשפחת החדש) בתבנית שם-פועל רגילה (טרח→טרחן, כמו שקרן/רכלן); "התקשט בנוצות זרים" אינו קשור כלל	טרח (נגזרת שקופה)	4	טרדן, נודניק, אדם שמטריח אחרים	אולי	25	התקשט בנוצות זרים
יָרֵא	לא שווה	אותו שורש בדיוק כמו "מורא" הקיים במשפחה - ירא הוא הצורה התיאורית (מפחד) לעומת מורא (הפחד עצמו); קשר ישיר ושקוף	מורא (אותו שורש, נגזרת ישירה)	4	פוחד, מבועת	אולי	0	
כְרוֹנוֹלוֹגִי	לא שווה	מילה בינלאומית שאולה (יוונית), מוכרת ושקופה למרבית הציבור מהאנגלית/מהחינוך הכללי; שכיחה מדי כמילת מבחן	שכיחות יתר / מילה בינלאומית שקופה	4	ערוך בסדר זמנים עוקב	שווה	25	מהוקצע
כִּתֵּת אֶת רַגְלָיו	לא שווה	הניב הזהה כמעט לחלוטין ("כתת רגליו") כבר קיים בחדש (במשפחה) - וריאנט תחבירי (עם/בלי "את")	כתת רגליו (וריאנט זהה)	4	הלך הרבה	אולי	50	גרגרן
לַהַב	לא שווה	שכיחה יחסית - "להב" (סכין/חרב) מילה קונקרטית מוכרת לרוב הציבור; "אבחה" עוסקת בתנועת חיתוך ולא באובייקט הפיזי, אך זה משני לשכיחות המילה	שכיחות יתר	4	החלק החד של כלי חיתוך, סכין, פגיון, חרב	אולי	29	אבחה
מַעֲטֶה	לא שווה	נגזרת שקופה של "עטה" (לבש/כיסה) שכבר בחדש; מי שיודע "עטה" מבין ש"מעטה" הוא כיסוי.	עטה	4	כיסוי, כְּסוּת, מעטֶפֶת	אולי	33	מסוה
מְפַעְפֵּעַ	לא שווה	צורת בינוני של אותו הפועל "פעפע" שכבר בחדש — אותו מובן בדיוק, נטייה שונה בלבד.	פעפע	4	מחלחל, חודר; מעלה בועות, משמיע רחש של מים רותחים, מבעבע	אולי	11	הזדקר
מַקְרֵן	לא שווה	שכיחה מדי — "מקרן" ככלי הקרנה מוכר לכל תלמיד תיכון.	שכיחה מדי, מילה בסיסית	4	מכשיר המטיל תמונות או שקופיות על מסך או קיר; גוף חימום המקרין חום, רדיאטור	אולי	9	שחום
מִשְׁתָּלָה	לא שווה	שכיחה מדי — "משתלה" כמקום גידול שתילים מוכרת לכל אדם.	שכיחה מדי, מילה בסיסית	4	מקום בו מגדלים ומוכרים שתילים	אולי	40	בית בד
נַיָּח	לא שווה	שכיחה מדי — מוכרת היטב מ"טלפון נייח" בשימוש יומיומי; גם ה"קרוב בחדש" (נוד) בעל מובן כמעט הפוך ולא רלוונטי.	שכיחה מדי, מילה בסיסית	4	קבוע, מקובע, שאינו נייד, לא ניתן להזיזו ממקום למקום	אולי	25	נוד
נִקְלֶה	לא שווה	אותה משמעות בדיוק (אדם בזוי וחסר ערך) כמו "חדל אישים" — ההגדרות כמעט זהות מילה במילה.	חדל אישים	4	בזוי, נחות, בעל ערך נמוך	אולי	40	חדל אישים
סוֹאֵן	לא שווה	"הומה" מוגדר גם הוא במפורש כ"רועש, סואן" — אותה משמעות בדיוק, לא רק חפיפה.	הומה	4	רועש	אולי	100	הומה
סִמְטָה	לא שווה	שכיחה מדי — מילה בסיסית ומוכרת לכל תלמיד תיכון.	שכיחה מדי, מילה בסיסית	4	רחוב צדדי וצר	שווה	33	דפן
סַף	לא שווה	שכיחה מדי — מילה בסיסית בשימוש נרחב ("סף העוני", "על סף מלחמה").	שכיחה מדי, מילה בסיסית	4	האדן התחתון של פתח, שעליו פוסעים בכניסה; הערך הנמוך ביותר שממנו מתחילה תופעה	אולי	8	כן / כנה
